datetime,stock_code,exchange_code,expiry_date,strike_price,option_right,open,high,low,close,volume,open_interest
03-01-2024 14:00,NIFTY,NFO,04-01-2024,22250,CE,1.3,1.4,1.25,1.3,260150,1957750
03-01-2024 14:05,NIFTY,NFO,04-01-2024,22250,CE,1.3,1.4,1.3,1.35,105600,1942500
03-01-2024 14:10,NIFTY,NFO,04-01-2024,22250,CE,1.35,1.7,1.35,1.65,782250,1954350
03-01-2024 14:15,NIFTY,NFO,04-01-2024,22250,CE,1.65,1.75,1.6,1.7,694250,2233550
03-01-2024 14:20,NIFTY,NFO,04-01-2024,22250,CE,1.65,1.75,1.5,1.55,458450,2242600
03-01-2024 14:25,NIFTY,NFO,04-01-2024,22250,CE,1.55,1.65,1.45,1.5,627650,2314450
03-01-2024 14:30,NIFTY,NFO,04-01-2024,22250,CE,1.5,1.5,1.3,1.3,210900,2326600
03-01-2024 14:35,NIFTY,NFO,04-01-2024,22250,CE,1.3,1.35,1.2,1.3,159350,2324800
03-01-2024 14:40,NIFTY,NFO,04-01-2024,22250,CE,1.3,1.45,1.2,1.2,495400,2296650
03-01-2024 14:45,NIFTY,NFO,04-01-2024,22250,CE,1.2,1.25,1.15,1.2,103350,2288600
03-01-2024 14:50,NIFTY,NFO,04-01-2024,22250,CE,1.15,1.2,1.05,1.05,234500,2245300
03-01-2024 14:55,NIFTY,NFO,04-01-2024,22250,CE,1.05,1.15,1,1.15,263850,2242900
03-01-2024 15:00,NIFTY,NFO,04-01-2024,22250,CE,1.15,1.15,1.05,1.05,595150,2240800
03-01-2024 15:05,NIFTY,NFO,04-01-2024,22250,CE,1.05,1.1,1,1,184200,2212950
03-01-2024 15:10,NIFTY,NFO,04-01-2024,22250,CE,1,1.05,0.9,1,551850,2164450
03-01-2024 15:15,NIFTY,NFO,04-01-2024,22250,CE,0.95,1,0.85,0.9,980550,2372900
03-01-2024 15:20,NIFTY,NFO,04-01-2024,22250,CE,0.9,0.9,0.75,0.8,401400,2283200
