datetime,stock_code,exchange_code,open,high,low,close,volume
2024-01-02 11:10:00,NIFTY,NSE,21598.8,21598.8,21584.85,21588.4,0
2024-01-02 11:15:00,NIFTY,NSE,21587.55,21587.8,21571.95,21581.45,0
2024-01-02 11:20:00,NIFTY,NSE,21581.15,21606.0,21580.0,21602.65,0
2024-01-02 11:25:00,NIFTY,NSE,21603.4,21606.5,21593.8,21599.35,0
2024-01-02 11:30:00,NIFTY,NSE,21600.0,21603.45,21587.0,21591.4,0
2024-01-02 11:35:00,NIFTY,NSE,21591.25,21613.45,21581.05,21608.3,0
2024-01-02 11:40:00,NIFTY,NSE,21608.7,21612.55,21581.65,21597.7,0
2024-01-02 11:45:00,NIFTY,NSE,21598.25,21598.25,21588.35,21588.35,0
2024-01-02 11:50:00,NIFTY,NSE,21588.8,21606.15,21586.5,21604.6,0
2024-01-02 11:55:00,NIFTY,NSE,21605.45,21605.55,21596.8,21602.6,0
2024-01-02 12:00:00,NIFTY,NSE,21602.0,21613.5,21602.0,21603.05,0
2024-01-02 12:05:00,NIFTY,NSE,21602.9,21616.15,21600.25,21614.9,0
2024-01-02 12:10:00,NIFTY,NSE,21614.95,21620.45,21609.8,21612.4,0
2024-01-02 12:15:00,NIFTY,NSE,21613.7,21642.6,21613.5,21639.2,0
2024-01-02 12:20:00,NIFTY,NSE,21639.05,21640.7,21624.7,21634.3,0
2024-01-02 12:25:00,NIFTY,NSE,21633.25,21635.8,21627.35,21627.35,0
2024-01-02 12:30:00,NIFTY,NSE,21627.4,21642.25,21626.8,21641.4,0
2024-01-02 12:35:00,NIFTY,NSE,21641.7,21648.7,21638.35,21641.65,0
2024-01-02 12:40:00,NIFTY,NSE,21641.45,21649.05,21637.1,21640.6,0
2024-01-02 12:45:00,NIFTY,NSE,21641.05,21644.0,21631.4,21632.0,0
2024-01-02 12:50:00,NIFTY,NSE,21632.2,21641.1,21627.9,21637.95,0
2024-01-02 12:55:00,NIFTY,NSE,21638.25,21640.6,21621.3,21627.75,0
2024-01-02 13:00:00,NIFTY,NSE,21627.35,21628.6,21601.7,21609.1,0
2024-01-02 13:05:00,NIFTY,NSE,21607.95,21629.3,21607.95,21618.3,0
2024-01-02 13:10:00,NIFTY,NSE,21618.05,21625.65,21612.6,21613.9,0
2024-01-02 13:15:00,NIFTY,NSE,21613.95,21625.45,21613.4,21618.75,0
2024-01-02 13:20:00,NIFTY,NSE,21618.65,21622.35,21611.15,21621.75,0
2024-01-02 13:25:00,NIFTY,NSE,21622.35,21626.8,21614.9,21621.8,0
2024-01-02 13:30:00,NIFTY,NSE,21622.35,21638.8,21621.4,21637.8,0
2024-01-02 13:35:00,NIFTY,NSE,21637.25,21641.8,21629.0,21631.6,0
2024-01-02 13:40:00,NIFTY,NSE,21631.5,21642.4,21629.3,21632.7,0
2024-01-02 13:45:00,NIFTY,NSE,21631.8,21635.65,21627.75,21633.4,0
2024-01-02 13:50:00,NIFTY,NSE,21631.9,21639.1,21625.25,21635.0,0
2024-01-02 13:55:00,NIFTY,NSE,21634.05,21634.9,21625.95,21628.5,0
2024-01-02 14:00:00,NIFTY,NSE,21627.8,21636.7,21624.55,21629.95,0
2024-01-02 14:05:00,NIFTY,NSE,21629.75,21644.05,21628.65,21643.85,0
2024-01-02 14:10:00,NIFTY,NSE,21645.2,21668.35,21645.2,21662.35,0
2024-01-02 14:15:00,NIFTY,NSE,21662.6,21663.35,21633.0,21638.8,0
2024-01-02 14:20:00,NIFTY,NSE,21638.5,21653.55,21638.5,21648.5,0
2024-01-02 14:25:00,NIFTY,NSE,21648.55,21652.2,21642.8,21651.75,0
2024-01-02 14:30:00,NIFTY,NSE,21651.3,21662.85,21651.3,21662.4,0
2024-01-02 14:35:00,NIFTY,NSE,21661.85,21681.5,21655.95,21681.1,0
2024-01-02 14:40:00,NIFTY,NSE,21680.55,21687.55,21668.1,21670.3,0
2024-01-02 14:45:00,NIFTY,NSE,21670.1,21685.45,21669.1,21676.05,0
2024-01-02 14:50:00,NIFTY,NSE,21676.15,21679.2,21659.25,21659.55,0
2024-01-02 14:55:00,NIFTY,NSE,21660.35,21669.95,21658.45,21661.3,0
2024-01-02 15:00:00,NIFTY,NSE,21657.2,21690.75,21657.2,21688.95,0
2024-01-02 15:05:00,NIFTY,NSE,21690.2,21692.7,21647.05,21653.05,0
2024-01-02 15:10:00,NIFTY,NSE,21652.75,21662.1,21642.8,21661.05,0
2024-01-02 15:15:00,NIFTY,NSE,21661.55,21672.55,21658.9,21664.8,0
2024-01-02 15:20:00,NIFTY,NSE,21665.35,21673.6,21663.4,21665.35,0
2024-01-02 15:25:00,NIFTY,NSE,21667.3,21667.85,21657.0,21661.5,0
2024-01-02 15:30:00,NIFTY,NSE,21660.25,21665.8,21660.25,21665.8,0
2024-01-02 15:35:00,NIFTY,NSE,21665.8,21665.8,21665.8,21665.8,0
2024-01-03 09:05:00,NIFTY,NSE,21661.1,21661.1,21661.1,21661.1,0
2024-01-03 09:10:00,NIFTY,NSE,21661.1,21661.1,21661.1,21661.1,0
2024-01-03 09:15:00,NIFTY,NSE,21661.1,21672.15,21597.25,21617.05,0
2024-01-03 09:20:00,NIFTY,NSE,21617.05,21625.95,21604.8,21611.6,0
2024-01-03 09:25:00,NIFTY,NSE,21612.6,21633.2,21611.6,21624.35,0
2024-01-03 09:30:00,NIFTY,NSE,21624.65,21630.1,21609.95,21611.2,0
2024-01-03 09:35:00,NIFTY,NSE,21609.55,21615.75,21578.6,21584.35,0
2024-01-03 09:40:00,NIFTY,NSE,21584.95,21586.15,21560.0,21561.05,0
2024-01-03 09:45:00,NIFTY,NSE,21559.65,21575.3,21556.95,21574.55,0
2024-01-03 09:50:00,NIFTY,NSE,21572.85,21589.55,21568.1,21583.3,0
2024-01-03 09:55:00,NIFTY,NSE,21583.3,21595.65,21577.15,21588.25,0
